year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
1988,34.3979057591623,241.25,18.824465,historical,65.88403,-0.058689117,-0.10564041
1989,34.3979057591623,241.25,18.576065,historical,65.43692,-0.30708885,-0.55275995
1990,34.3979057591623,241.25,18.343332,historical,65.018,-0.5398216,-0.9716789
1991,34.3979057591623,241.25,18.642237,historical,65.55603,-0.2409172,-0.43365097
1992,34.3979057591623,241.25,17.83529,historical,64.10352,-1.047863,-1.8861535
1993,34.3979057591623,241.25,17.87269,historical,64.170845,-1.0104637,-1.8188347
1994,34.3979057591623,241.25,18.358107,historical,65.04459,-0.5250473,-0.94508517
1995,34.3979057591623,241.25,19.59482,historical,67.270676,0.7116661,1.280999
1996,34.3979057591623,241.25,19.609636,historical,67.29735,0.7264824,1.3076683
1997,34.3979057591623,241.25,18.489492,historical,65.28108,-0.3936615,-0.7085907
1998,34.3979057591623,241.25,19.071716,historical,66.32909,0.1885624,0.3394123
1999,34.3979057591623,241.25,19.003794,historical,66.20683,0.1206398,0.21715164
2000,34.3979057591623,241.25,19.550802,historical,67.191444,0.6676483,1.201767
2001,34.3979057591623,241.25,19.473333,historical,67.052,0.59017944,1.062323
2002,34.3979057591623,241.25,20.141626,historical,68.25493,1.2584724,2.2652504
2003,34.3979057591623,241.25,18.918081,historical,66.05254,0.03492737,0.062869266
2004,34.3979057591623,241.25,19.459307,historical,67.02675,0.5761528,1.037075
2005,34.3979057591623,241.25,19.922129,historical,67.85983,1.0389748,1.8701546
2006,34.3979057591623,241.25,18.77902,historical,65.80224,-0.104133606,-0.18744048
2007,34.3979057591623,241.25,20.334145,historical,68.601456,1.4509907,2.6117833
2008,34.3979057591623,241.25,20.018225,historical,68.03281,1.1350708,2.0431275
2009,34.3979057591623,241.25,19.586641,historical,67.25595,0.7034874,1.2662773
2010,34.3979057591623,241.25,19.105776,historical,66.390396,0.22262192,0.40071946
2011,34.3979057591623,241.25,18.985678,historical,66.17422,0.1025238,0.18454285
2012,34.3979057591623,241.25,20.039078,historical,68.07034,1.1559238,2.080663
2013,34.3979057591623,241.25,19.717485,historical,67.49147,0.8343315,1.5017967
2014,34.3979057591623,241.25,19.781416,historical,67.60655,0.898262,1.6168716
2015,34.3979057591623,241.25,18.443542,ssp126,65.19838,-0.43961143,-0.7913006
2016,34.3979057591623,241.25,19.886915,ssp126,67.79645,1.0037613,1.8067703
2017,34.3979057591623,241.25,18.997475,ssp126,66.19545,0.114320755,0.20577736
2018,34.3979057591623,241.25,18.075853,ssp126,64.53654,-0.80730057,-1.453141
2019,34.3979057591623,241.25,19.745857,ssp126,67.54254,0.8627033,1.552866
